ID,FirstName,LastName,Email,Department,Salary
EMP001,First1,Last1,emp1@company.local,Marketing,114322
EMP002,First2,Last2,emp2@company.local,Sales,43032
EMP003,First3,Last3,emp3@company.local,Finance,57929
EMP004,First4,Last4,emp4@company.local,IT,42601
EMP005,First5,Last5,emp5@company.local,Finance,111244
EMP006,First6,Last6,emp6@company.local,IT,104197
EMP007,First7,Last7,emp7@company.local,Marketing,105097
EMP008,First8,Last8,emp8@company.local,IT,107071
EMP009,First9,Last9,emp9@company.local,Marketing,60518
EMP010,First10,Last10,emp10@company.local,Sales,88995
EMP011,First11,Last11,emp11@company.local,HR,110230
EMP012,First12,Last12,emp12@company.local,IT,110947
EMP013,First13,Last13,emp13@company.local,Sales,64372
EMP014,First14,Last14,emp14@company.local,HR,79499
EMP015,First15,Last15,emp15@company.local,Finance,97939
EMP016,First16,Last16,emp16@company.local,Marketing,94781
EMP017,First17,Last17,emp17@company.local,Finance,65854
EMP018,First18,Last18,emp18@company.local,Finance,89690
EMP019,First19,Last19,emp19@company.local,Sales,112211
EMP020,First20,Last20,emp20@company.local,IT,92295
EMP021,First21,Last21,emp21@company.local,Sales,112386
EMP022,First22,Last22,emp22@company.local,Finance,46223
EMP023,First23,Last23,emp23@company.local,Sales,46923
EMP024,First24,Last24,emp24@company.local,Marketing,43667
EMP025,First25,Last25,emp25@company.local,Finance,110347
EMP026,First26,Last26,emp26@company.local,Marketing,50047
EMP027,First27,Last27,emp27@company.local,IT,86933
EMP028,First28,Last28,emp28@company.local,Marketing,57356
EMP029,First29,Last29,emp29@company.local,IT,119182
EMP030,First30,Last30,emp30@company.local,Marketing,117599
EMP031,First31,Last31,emp31@company.local,Sales,109791
EMP032,First32,Last32,emp32@company.local,Sales,100631
EMP033,First33,Last33,emp33@company.local,IT,87170
EMP034,First34,Last34,emp34@company.local,Marketing,66862
EMP035,First35,Last35,emp35@company.local,Sales,100267
EMP036,First36,Last36,emp36@company.local,HR,60637
EMP037,First37,Last37,emp37@company.local,IT,96616
EMP038,First38,Last38,emp38@company.local,Marketing,40542
EMP039,First39,Last39,emp39@company.local,Sales,72999
EMP040,First40,Last40,emp40@company.local,Finance,83812
EMP041,First41,Last41,emp41@company.local,IT,108239
EMP042,First42,Last42,emp42@company.local,Marketing,43399
EMP043,First43,Last43,emp43@company.local,Marketing,69151
EMP044,First44,Last44,emp44@company.local,IT,63693
EMP045,First45,Last45,emp45@company.local,Marketing,79492
EMP046,First46,Last46,emp46@company.local,Marketing,69365
EMP047,First47,Last47,emp47@company.local,Sales,99450
EMP048,First48,Last48,emp48@company.local,Sales,60085
EMP049,First49,Last49,emp49@company.local,Sales,100596
EMP050,First50,Last50,emp50@company.local,HR,68762
